goos: darwin
goarch: arm64
pkg: github.com/DataDog/datadog-agent/pkg/logs/processor
cpu: Apple M4 Max
BenchmarkRegexPatterns/exclude_word_timestamp_integrity/match-16                    	  873579	      1414 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/exclude_word_timestamp_integrity/miss-16                     	  897260	      1341 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/processing_by/match-16                                       	 2223666	       542.4 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/processing_by/miss-16                                        	 3763798	       317.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/cannot_create_service_service_port_not_found/match-16        	 3345296	       359.9 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/cannot_create_service_service_port_not_found/miss-16         	31413475	        48.15 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/removed_noisy_logs_from_custom-fields-value-updater-api/match-16         	  702636	      1700 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/removed_noisy_logs_from_custom-fields-value-updater-api/miss-16          	  682886	      1797 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/pay_anyone_claim_url_path/match-16                                       	 5462622	       219.0 ns/op	     147 B/op	       5 allocs/op
BenchmarkRegexPatterns/pay_anyone_claim_url_path/miss-16                                        	63461984	        19.10 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/mask_dd_api_keys/match-16                                                	 3996927	       302.8 ns/op	     147 B/op	       5 allocs/op
BenchmarkRegexPatterns/mask_dd_api_keys/miss-16                                                 	 4999315	       241.2 ns/op	      73 B/op	       3 allocs/op
BenchmarkRegexPatterns/exclude_pts_reset_logs/match-16                                          	 9762661	       124.1 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/exclude_pts_reset_logs/miss-16                                           	70427874	        17.07 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/Content-exchange-service_noisy_logs/match-16                             	  714421	      1685 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/Content-exchange-service_noisy_logs/miss-16                              	  723914	      1667 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/removed_noisy_logs_from_main_service/match-16                            	 5381559	       229.5 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/removed_noisy_logs_from_main_service/miss-16                             	69392571	        17.48 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/Dex_flooding_logs/match-16                                               	  930199	      1321 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/Dex_flooding_logs/miss-16                                                	 1275841	       941.3 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/diners_credit_card/match-16                                              	 5106192	       235.4 ns/op	     114 B/op	       5 allocs/op
