benchmark,ns_per_op,bytes_per_op,allocs_per_op
TimeSamplerHook/sample_only/0sub,81.82,0.0,0
TimeSamplerHook/sample_only/0sub,82.89,0.0,0
TimeSamplerHook/sample_only/0sub,81.63,0.0,0
TimeSamplerHook/sample_only/0sub,81.28,0.0,0
TimeSamplerHook/sample_only/0sub,81.27,0.0,0
TimeSamplerHook/sample_only/0sub,81.07,0.0,0
TimeSamplerHook/sample_only/0sub,80.94,0.0,0
TimeSamplerHook/sample_only/0sub,80.72,0.0,0
TimeSamplerHook/sample_only/0sub,81.26,0.0,0
TimeSamplerHook/sample_only/0sub,81.29,0.0,0
TimeSamplerHook/sample_only/0sub,81.4,0.0,0
TimeSamplerHook/sample_only/0sub,80.8,0.0,0
TimeSamplerHook/batch32_publish/0sub,2637.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2636.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2631.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2624.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2630.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2652.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2639.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2638.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2622.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2632.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2620.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2608.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2663.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2659.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2653.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,3037.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2630.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2616.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2672.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2642.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2631.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2610.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2670.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2646.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2635.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2622.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2622.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2625.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2604.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2629.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2627.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2644.0,0.0,0
TimeSamplerHook/batch32_publish/0sub,2616.0,0.0,0
