BenchmarkTimeSamplerSampleThenFlushCycle/1000-samples-per-flush/useStore=false-20   	    5516	    199853 ns/op	      1000 samples-per-cycle	  130767 B/op	    1032 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/1000-samples-per-flush/useStore=false-20   	    6135	    198654 ns/op	      1000 samples-per-cycle	  130756 B/op	    1032 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/1000-samples-per-flush/useStore=false-20   	    5955	    197147 ns/op	      1000 samples-per-cycle	  130758 B/op	    1032 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/1000-samples-per-flush/useStore=false-20   	    6118	    199023 ns/op	      1000 samples-per-cycle	  130758 B/op	    1032 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/15000-samples-per-flush/useStore=true-20   	     974	   1071154 ns/op	     15000 samples-per-cycle	  375124 B/op	    3075 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/15000-samples-per-flush/useStore=true-20   	    1144	   1062167 ns/op	     15000 samples-per-cycle	  375105 B/op	    3074 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/15000-samples-per-flush/useStore=true-20   	    1154	   1063611 ns/op	     15000 samples-per-cycle	  375141 B/op	    3075 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/15000-samples-per-flush/useStore=true-20   	    1165	   1050094 ns/op	     15000 samples-per-cycle	  375139 B/op	    3075 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/15000-samples-per-flush/useStore=true-20   	    1155	   1111045 ns/op	     15000 samples-per-cycle	  375228 B/op	    3075 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/15000-samples-per-flush/useStore=false-20  	    1070	   1148855 ns/op	     15000 samples-per-cycle	  375276 B/op	    3075 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/15000-samples-per-flush/useStore=false-20  	    1108	   1235721 ns/op	     15000 samples-per-cycle	  375346 B/op	    3076 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/15000-samples-per-flush/useStore=false-20  	     879	   1177703 ns/op	     15000 samples-per-cycle	  375288 B/op	    3075 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/15000-samples-per-flush/useStore=false-20  	    1099	   1165984 ns/op	     15000 samples-per-cycle	  375242 B/op	    3075 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/15000-samples-per-flush/useStore=false-20  	    1051	   1216785 ns/op	     15000 samples-per-cycle	  375372 B/op	    3076 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/100000-samples-per-flush/useStore=true-20  	     127	   9364301 ns/op	    100000 samples-per-cycle	 2190236 B/op	    4784 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/100000-samples-per-flush/useStore=true-20  	     145	   8934257 ns/op	    100000 samples-per-cycle	 2187948 B/op	    4776 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/100000-samples-per-flush/useStore=true-20  	     130	   8873997 ns/op	    100000 samples-per-cycle	 2188624 B/op	    4779 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/100000-samples-per-flush/useStore=true-20  	     135	   9338705 ns/op	    100000 samples-per-cycle	 2189634 B/op	    4781 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/100000-samples-per-flush/useStore=true-20  	     132	   9180119 ns/op	    100000 samples-per-cycle	 2189789 B/op	    4781 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/100000-samples-per-flush/useStore=false-20 	     134	   8738248 ns/op	    100000 samples-per-cycle	 2188324 B/op	    4777 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/100000-samples-per-flush/useStore=false-20 	     144	   8956031 ns/op	    100000 samples-per-cycle	 2189532 B/op	    4780 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/100000-samples-per-flush/useStore=false-20 	     136	   8538508 ns/op	    100000 samples-per-cycle	 2187525 B/op	    4773 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/100000-samples-per-flush/useStore=false-20 	     135	   8886290 ns/op	    100000 samples-per-cycle	 2188677 B/op	    4777 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/100000-samples-per-flush/useStore=false-20 	     136	   8623107 ns/op	    100000 samples-per-cycle	 2188377 B/op	    4776 allocs/op

# =============================================================================
# Forwarder (comp/forwarder/defaultforwarder) - count=5
# =============================================================================
goos: linux
goarch: amd64
pkg: github.com/DataDog/datadog-agent/comp/forwarder/defaultforwarder
cpu: 12th Gen Intel(R) Core(TM) i9-12900H
BenchmarkCreateHTTPTransactionPayloadSize/256-bytes-20          	 1218314	       961.8 ns/op	     712 B/op	      11 allocs/op
BenchmarkCreateHTTPTransactionPayloadSize/256-bytes-20          	 1222401	       960.4 ns/op	     712 B/op	      11 allocs/op
BenchmarkCreateHTTPTransactionPayloadSize/256-bytes-20          	 1211634	       915.2 ns/op	     712 B/op	      11 allocs/op
BenchmarkCreateHTTPTransactionPayloadSize/256-bytes-20          	 1328106	       897.8 ns/op	     712 B/op	      11 allocs/op
BenchmarkCreateHTTPTransactionPayloadSize/256-bytes-20          	 1329006	       890.2 ns/op	     712 B/op	      11 allocs/op
BenchmarkCreateHTTPTransactionPayloadSize/4096-bytes-20         	 1270302	       897.0 ns/op	     712 B/op	      11 allocs/op
BenchmarkCreateHTTPTransactionPayloadSize/4096-bytes-20         	 1312890	       879.3 ns/op	     712 B/op	      11 allocs/op
BenchmarkCreateHTTPTransactionPayloadSize/4096-bytes-20         	 1377487	       897.5 ns/op	     712 B/op	      11 allocs/op
BenchmarkCreateHTTPTransactionPayloadSize/4096-bytes-20         	 1330644	       874.9 ns/op	     712 B/op	      11 allocs/op
BenchmarkCreateHTTPTransactionPayloadSize/4096-bytes-20         	 1361965	       884.9 ns/op	     712 B/op	      11 allocs/op
BenchmarkCreateHTTPTransactionMultiPayload/1-payloads-20        	 1258424	       954.4 ns/op	     712 B/op	      11 allocs/op
BenchmarkCreateHTTPTransactionMultiPayload/1-payloads-20        	 1289098	       940.6 ns/op	     712 B/op	      11 allocs/op
BenchmarkCreateHTTPTransactionMultiPayload/1-payloads-20        	 1269080	       927.7 ns/op	     712 B/op	      11 allocs/op
BenchmarkCreateHTTPTransactionMultiPayload/1-payloads-20        	 1253007	       944.3 ns/op	     712 B/op	      11 allocs/op
