Component,Origin,License
core,"github.com/containerd/containerd/rootfs",Apache-2.0
core,"github.com/containerd/containerd/runtime/linux/runctypes",Apache-2.0
core,"github.com/containerd/containerd/snapshots",Apache-2.0
core,"github.com/containerd/containerd/snapshots/proxy",Apache-2.0
core,"github.com/containerd/containerd/sys",Apache-2.0
core,"github.com/containerd/containerd/version",Apache-2.0
core,"github.com/containerd/continuity/fs",Apache-2.0
core,"github.com/containerd/continuity/syscallx",Apache-2.0
core,"github.com/containerd/continuity/sysx",Apache-2.0
core,"github.com/containerd/fifo",Apache-2.0
core,"github.com/containerd/typeurl",Apache-2.0
core,"github.com/coreos/etcd/auth/authpb",Apache-2.0
core,"github.com/coreos/etcd/clientv3/balancer",Apache-2.0
core,"github.com/coreos/etcd/clientv3/balancer/connectivity",Apache-2.0
core,"github.com/coreos/etcd/clientv3/balancer/picker",Apache-2.0
core,"github.com/coreos/etcd/clientv3/balancer/resolver/endpoint",Apache-2.0
core,"github.com/coreos/etcd/clientv3/credentials",Apache-2.0
core,"github.com/coreos/etcd/etcdserver/api/v3rpc/rpctypes",Apache-2.0
core,"github.com/coreos/etcd/etcdserver/etcdserverpb",Apache-2.0
core,"github.com/coreos/etcd/mvcc/mvccpb",Apache-2.0
core,"github.com/coreos/etcd/pkg/logutil",Apache-2.0
core,"github.com/coreos/etcd/pkg/systemd",Apache-2.0
core,"github.com/coreos/etcd/pkg/tlsutil",Apache-2.0
core,"github.com/coreos/etcd/pkg/types",Apache-2.0
core,"github.com/coreos/etcd/raft",Apache-2.0
core,"github.com/coreos/etcd/raft/raftpb",Apache-2.0
core,"github.com/coreos/go-semver/semver",Apache-2.0
core,"github.com/coreos/go-systemd/dbus",Apache-2.0
core,"github.com/coreos/go-systemd/journal",Apache-2.0
core,"github.com/coreos/go-systemd/sdjournal",Apache-2.0
core,"github.com/coreos/pkg/capnslog",Apache-2.0
core,"github.com/coreos/pkg/dlopen",Apache-2.0
core,"github.com/datadog/extendeddaemonset/pkg/apis/datadoghq/v1alpha1",Apache-2.0
core,"github.com/dsnet/compress",FreeBSD
