goos: darwin
goarch: arm64
pkg: github.com/DataDog/datadog-agent/pkg/logs/processor
cpu: Apple M4 Max
BenchmarkProcessing_MultipleRules/PrefilterMiss-16         	  666747	      1800 ns/op	    3768 B/op	      41 allocs/op
BenchmarkProcessing_MultipleRules/PrefilterMiss-16         	  647508	      1781 ns/op	    3768 B/op	      41 allocs/op
BenchmarkProcessing_MultipleRules/PrefilterMiss-16         	  687146	      1800 ns/op	    3768 B/op	      41 allocs/op
BenchmarkProcessing_MultipleRules/PrefilterMiss-16         	  681480	      1798 ns/op	    3768 B/op	      41 allocs/op
BenchmarkProcessing_MultipleRules/PrefilterHit_TokenMiss-16         	  478576	      2474 ns/op	    5160 B/op	      53 allocs/op
BenchmarkProcessing_MultipleRules/PrefilterHit_TokenMiss-16         	  487819	      2477 ns/op	    5160 B/op	      53 allocs/op
BenchmarkProcessing_MultipleRules/PrefilterHit_TokenMiss-16         	  475440	      2462 ns/op	    5160 B/op	      53 allocs/op
BenchmarkProcessing_MultipleRules/PrefilterHit_TokenMiss-16         	  495950	      2435 ns/op	    5160 B/op	      53 allocs/op
BenchmarkProcessing_MultipleRules/PrefilterHit_TokenMiss-16         	  486562	      2486 ns/op	    5160 B/op	      53 allocs/op
BenchmarkProcessing_ExcludeRules/Healthcheck_Match-16               	  976495	      1192 ns/op	    2808 B/op	      29 allocs/op
BenchmarkProcessing_ExcludeRules/Healthcheck_Match-16               	 1000000	      1182 ns/op	    2808 B/op	      29 allocs/op
BenchmarkProcessing_ExcludeRules/Healthcheck_Match-16               	  995358	      1194 ns/op	    2808 B/op	      29 allocs/op
BenchmarkProcessing_ExcludeRules/Healthcheck_Match-16               	 1000000	      1199 ns/op	    2808 B/op	      29 allocs/op
BenchmarkProcessing_ExcludeRules/Healthcheck_Match-16               	  973636	      1210 ns/op	    2808 B/op	      29 allocs/op
BenchmarkProcessing_ExcludeRules/Iptables_Match-16                  	  822130	      1467 ns/op	    3376 B/op	      33 allocs/op
BenchmarkProcessing_ExcludeRules/Iptables_Match-16                  	  820454	      1459 ns/op	    3376 B/op	      33 allocs/op
BenchmarkProcessing_ExcludeRules/Iptables_Match-16                  	  805698	      1475 ns/op	    3376 B/op	      33 allocs/op
BenchmarkProcessing_ExcludeRules/Iptables_Match-16                  	  830980	      1495 ns/op	    3376 B/op	      33 allocs/op
BenchmarkProcessing_ExcludeRules/Iptables_Match-16                  	  830806	      1489 ns/op	    3376 B/op	      33 allocs/op
BenchmarkProcessing_ExcludeRules/NoMatch-16                         	  684054	      1757 ns/op	    3768 B/op	      41 allocs/op
BenchmarkProcessing_ExcludeRules/NoMatch-16                         	  645658	      1790 ns/op	    3768 B/op	      41 allocs/op
BenchmarkProcessing_ExcludeRules/NoMatch-16                         	  692468	      1784 ns/op	    3768 B/op	      41 allocs/op
BenchmarkProcessing_ExcludeRules/NoMatch-16                         	  693160	      1751 ns/op	    3768 B/op	      41 allocs/op
BenchmarkProcessing_ExcludeRules/NoMatch-16                         	  650748	      1791 ns/op	    3768 B/op	      41 allocs/op
